# Index: time, region
# Unit: %

year,EU,US,OT,EE,CA,IA,AF,LA
2009,93.93615815258218,93.93615815258218,93.93615815258218,102.52694832561679,103.777924275469,103.777924275469,105.6522656241869,105.6522656241869
2010,87.87231630516435,87.87231630516435,87.87231630516435,105.05389665123357,107.55584855093801,107.55584855093801,111.3045312483738,111.3045312483738
2020,32.445605949991446,30.026647111383813,25.37636384762459,96.92766659732138,160.02461933084047,198.1843598362552,138.39483591384845,122.88980197369965
2030,27.644410602669268,25.489220123764923,18.855474480114488,62.72008142953161,121.2095566160676,175.9429813334852,107.54291299866213,83.84599712823427
2040,22.843215255347094,20.951793136146037,12.334585112604385,28.51249626174184,82.39449390129475,153.7016028307152,76.6909900834758,44.802192282768885
2050,16.138599268858453,15.179643237435965,8.41977320584012,17.72666712485948,53.87264614490626,108.71573310577271,53.55101692879441,28.31255271717866
2075,4.990877672332022,5.279364912991155,2.3581296179871147,3.5652659845997716,12.322425153092171,32.586572245941085,16.437321337306322,6.130051371457167
2100,1.4202251678047682,1.746444728285081,0.6521868960099262,0.92284885710792,2.478846152293802,7.487243524207749,4.412070496346556,1.5377459769478405
2150,1.4202251678047682,1.746444728285081,0.6521868960099262,0.92284885710792,2.478846152293802,7.487243524207749,4.412070496346556,1.5377459769478405
2200,1.4202251678047682,1.746444728285081,0.6521868960099262,0.92284885710792,2.478846152293802,7.487243524207749,4.412070496346556,1.5377459769478405
